id	gender	childhood_location	current_location	native_language	education	age
631	female	ontario	ontario	english	bachelors_degree	29
632	male	ontario	ontario	english	bachelors_degree	29
633	female	ontario	ontario	english	high_school_graduate	21
634	female	ontario	quebec	english	bachelors_degree	42
635	female	florida	florida	english	bachelors_degree	25
636	male	on	on	english	bachelors_degree	42
637	male	newyork	ny	english	bachelors_degree	58
638	female	novascotia	novascotia	english	some_college_no_degree	21
639	male	newbrunswick	newbrunsiwck	english	masters_degree	31
640	female	newfoundland	newfoundland	enlis	high_school_graduate	23
641	female	hongkong	londonuk	english	masters_degree	24
642	male	maine	maine	english	some_college_no_degree	43
643	male	ontario	ontario	english	masters_degree	31
644	male	ky	ca	english	doctorate	29
